Category: All categories

Month,SB Dunk Low: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,12
2004-11,0
2004-12,13
2005-01,13
2005-02,11
2005-03,13
2005-04,11
2005-05,12
2005-06,16
2005-07,10
2005-08,0
2005-09,19
2005-10,8
2005-11,12
2005-12,14
2006-01,8
2006-02,15
2006-03,15
2006-04,17
2006-05,14
2006-06,18
2006-07,8
2006-08,15
2006-09,9
2006-10,17
2006-11,16
2006-12,22
2007-01,18
2007-02,19
2007-03,22
2007-04,21
2007-05,18
2007-06,20
2007-07,15
2007-08,21
2007-09,25
2007-10,25
2007-11,26
2007-12,31
2008-01,23
2008-02,33
2008-03,32
2008-04,28
2008-05,32
2008-06,24
2008-07,23
2008-08,27
2008-09,23
2008-10,22
2008-11,21
2008-12,24
2009-01,23
2009-02,19
2009-03,19
2009-04,19
2009-05,21
2009-06,21
2009-07,21
2009-08,26
2009-09,19
2009-10,15
2009-11,20
2009-12,22
2010-01,16
2010-02,17
2010-03,22
2010-04,20
2010-05,16
2010-06,15
2010-07,14
2010-08,15
2010-09,13
2010-10,14
2010-11,12
2010-12,13
2011-01,14
2011-02,15
2011-03,16
2011-04,20
2011-05,21
2011-06,17
2011-07,23
2011-08,23
2011-09,15
2011-10,16
2011-11,14
2011-12,16
2012-01,14
2012-02,21
2012-03,24
2012-04,23
2012-05,23
2012-06,17
2012-07,23
2012-08,23
2012-09,20
2012-10,18
2012-11,19
2012-12,21
2013-01,15
2013-02,18
2013-03,20
2013-04,24
2013-05,20
2013-06,17
2013-07,20
2013-08,22
2013-09,15
2013-10,15
2013-11,18
2013-12,21
2014-01,22
2014-02,33
2014-03,19
2014-04,22
2014-05,20
2014-06,13
2014-07,16
2014-08,23
2014-09,16
2014-10,13
2014-11,17
2014-12,14
2015-01,13
2015-02,15
2015-03,12
2015-04,16
2015-05,24
2015-06,14
2015-07,16
2015-08,16
2015-09,13
2015-10,11
2015-11,12
2015-12,14
2016-01,13
2016-02,16
2016-03,13
2016-04,14
2016-05,13
2016-06,10
2016-07,10
2016-08,9
2016-09,8
2016-10,13
2016-11,13
2016-12,13
2017-01,12
2017-02,13
2017-03,14
2017-04,14
2017-05,12
2017-06,11
2017-07,10
2017-08,11
2017-09,9
2017-10,10
2017-11,20
2017-12,14
2018-01,12
2018-02,11
2018-03,10
2018-04,9
2018-05,9
2018-06,10
2018-07,9
2018-08,8
2018-09,8
2018-10,10
2018-11,19
2018-12,22
2019-01,22
2019-02,15
2019-03,13
2019-04,15
2019-05,16
2019-06,15
2019-07,23
2019-08,21
2019-09,34
2019-10,29
2019-11,22
2019-12,35
2020-01,44
2020-02,81
2020-03,55
2020-04,43
2020-05,75
2020-06,56
2020-07,98
2020-08,79
2020-09,62
2020-10,53
2020-11,60
2020-12,79
2021-01,96
2021-02,59
2021-03,73
2021-04,68
2021-05,81
2021-06,69
2021-07,85
2021-08,77
2021-09,63
2021-10,67
2021-11,68
2021-12,71
2022-01,64
2022-02,68
2022-03,69
2022-04,72
2022-05,60
2022-06,62
2022-07,78
2022-08,68
2022-09,67
2022-10,84
2022-11,94
2022-12,99
2023-01,88
2023-02,81
2023-03,80
2023-04,82
2023-05,83
2023-06,80
2023-07,81
2023-08,94
2023-09,80
2023-10,77
2023-11,100
2023-12,84
2024-01,75
2024-02,78
2024-03,74
2024-04,77
2024-05,75
2024-06,59
2024-07,71
2024-08,80
2024-09,64
