Category: All categories

Month,Adidas Superstar: (United States)
2004-01,6
2004-02,9
2004-03,10
2004-04,9
2004-05,5
2004-06,9
2004-07,9
2004-08,13
2004-09,9
2004-10,8
2004-11,10
2004-12,11
2005-01,9
2005-02,11
2005-03,9
2005-04,12
2005-05,10
2005-06,9
2005-07,13
2005-08,13
2005-09,7
2005-10,8
2005-11,8
2005-12,9
2006-01,9
2006-02,9
2006-03,8
2006-04,10
2006-05,8
2006-06,8
2006-07,9
2006-08,11
2006-09,7
2006-10,6
2006-11,7
2006-12,7
2007-01,8
2007-02,7
2007-03,7
2007-04,7
2007-05,8
2007-06,6
2007-07,8
2007-08,8
2007-09,7
2007-10,6
2007-11,6
2007-12,7
2008-01,7
2008-02,8
2008-03,8
2008-04,8
2008-05,8
2008-06,8
2008-07,7
2008-08,9
2008-09,6
2008-10,7
2008-11,7
2008-12,9
2009-01,7
2009-02,7
2009-03,7
2009-04,6
2009-05,6
2009-06,6
2009-07,7
2009-08,7
2009-09,5
2009-10,6
2009-11,5
2009-12,7
2010-01,6
2010-02,5
2010-03,6
2010-04,5
2010-05,5
2010-06,5
2010-07,5
2010-08,6
2010-09,5
2010-10,4
2010-11,5
2010-12,6
2011-01,4
2011-02,5
2011-03,5
2011-04,5
2011-05,5
2011-06,4
2011-07,5
2011-08,6
2011-09,5
2011-10,4
2011-11,4
2011-12,6
2012-01,4
2012-02,5
2012-03,5
2012-04,5
2012-05,4
2012-06,4
2012-07,4
2012-08,5
2012-09,4
2012-10,4
2012-11,4
2012-12,5
2013-01,4
2013-02,4
2013-03,4
2013-04,4
2013-05,4
2013-06,4
2013-07,4
2013-08,5
2013-09,4
2013-10,3
2013-11,4
2013-12,4
2014-01,3
2014-02,4
2014-03,4
2014-04,4
2014-05,4
2014-06,4
2014-07,4
2014-08,4
2014-09,4
2014-10,4
2014-11,5
2014-12,7
2015-01,8
2015-02,9
2015-03,15
2015-04,22
2015-05,19
2015-06,20
2015-07,23
2015-08,37
2015-09,29
2015-10,31
2015-11,41
2015-12,68
2016-01,60
2016-02,71
2016-03,84
2016-04,78
2016-05,70
2016-06,59
2016-07,78
2016-08,100
2016-09,67
2016-10,60
2016-11,79
2016-12,95
2017-01,61
2017-02,62
2017-03,58
2017-04,54
2017-05,43
2017-06,39
2017-07,46
2017-08,55
2017-09,36
2017-10,32
2017-11,41
2017-12,48
2018-01,26
2018-02,25
2018-03,26
2018-04,24
2018-05,22
2018-06,21
2018-07,23
2018-08,26
2018-09,19
2018-10,19
2018-11,23
2018-12,25
2019-01,17
2019-02,17
2019-03,18
2019-04,18
2019-05,15
2019-06,14
2019-07,16
2019-08,18
2019-09,13
2019-10,13
2019-11,17
2019-12,20
2020-01,15
2020-02,16
2020-03,14
2020-04,13
2020-05,14
2020-06,15
2020-07,16
2020-08,16
2020-09,18
2020-10,16
2020-11,17
2020-12,18
2021-01,16
2021-02,15
2021-03,17
2021-04,18
2021-05,17
2021-06,16
2021-07,18
2021-08,16
2021-09,16
2021-10,17
2021-11,20
2021-12,19
2022-01,16
2022-02,16
2022-03,17
2022-04,16
2022-05,15
2022-06,15
2022-07,16
2022-08,18
2022-09,16
2022-10,15
2022-11,20
2022-12,23
2023-01,20
2023-02,22
2023-03,19
2023-04,19
2023-05,21
2023-06,18
2023-07,21
2023-08,24
2023-09,20
2023-10,17
2023-11,23
2023-12,24
2024-01,18
2024-02,17
2024-03,20
2024-04,19
2024-05,19
2024-06,21
2024-07,22
2024-08,44
2024-09,35
2024-10,25
