Category: All categories

Month,Air Force 1: (United States)
2004-01,8
2004-02,8
2004-03,9
2004-04,9
2004-05,7
2004-06,7
2004-07,8
2004-08,8
2004-09,6
2004-10,6
2004-11,7
2004-12,7
2005-01,6
2005-02,8
2005-03,8
2005-04,7
2005-05,7
2005-06,7
2005-07,6
2005-08,7
2005-09,6
2005-10,6
2005-11,5
2005-12,7
2006-01,6
2006-02,7
2006-03,7
2006-04,8
2006-05,9
2006-06,10
2006-07,9
2006-08,9
2006-09,7
2006-10,7
2006-11,6
2006-12,7
2007-01,8
2007-02,8
2007-03,8
2007-04,7
2007-05,7
2007-06,6
2007-07,8
2007-08,9
2007-09,7
2007-10,6
2007-11,7
2007-12,8
2008-01,7
2008-02,8
2008-03,7
2008-04,7
2008-05,7
2008-06,6
2008-07,6
2008-08,7
2008-09,5
2008-10,5
2008-11,6
2008-12,7
2009-01,7
2009-02,6
2009-03,6
2009-04,6
2009-05,5
2009-06,4
2009-07,4
2009-08,4
2009-09,4
2009-10,4
2009-11,4
2009-12,4
2010-01,4
2010-02,4
2010-03,4
2010-04,4
2010-05,4
2010-06,4
2010-07,3
2010-08,4
2010-09,3
2010-10,3
2010-11,4
2010-12,4
2011-01,4
2011-02,5
2011-03,4
2011-04,4
2011-05,4
2011-06,4
2011-07,4
2011-08,5
2011-09,4
2011-10,4
2011-11,4
2011-12,5
2012-01,4
2012-02,5
2012-03,4
2012-04,4
2012-05,4
2012-06,4
2012-07,5
2012-08,5
2012-09,4
2012-10,4
2012-11,5
2012-12,5
2013-01,5
2013-02,5
2013-03,5
2013-04,6
2013-05,4
2013-06,4
2013-07,5
2013-08,6
2013-09,5
2013-10,4
2013-11,5
2013-12,6
2014-01,5
2014-02,6
2014-03,6
2014-04,7
2014-05,7
2014-06,6
2014-07,7
2014-08,8
2014-09,6
2014-10,8
2014-11,9
2014-12,10
2015-01,7
2015-02,8
2015-03,7
2015-04,7
2015-05,7
2015-06,7
2015-07,8
2015-08,10
2015-09,9
2015-10,10
2015-11,12
2015-12,15
2016-01,15
2016-02,15
2016-03,15
2016-04,13
2016-05,12
2016-06,11
2016-07,12
2016-08,12
2016-09,11
2016-10,11
2016-11,20
2016-12,20
2017-01,15
2017-02,20
2017-03,15
2017-04,12
2017-05,12
2017-06,12
2017-07,14
2017-08,16
2017-09,14
2017-10,16
2017-11,23
2017-12,30
2018-01,22
2018-02,22
2018-03,23
2018-04,19
2018-05,19
2018-06,20
2018-07,27
2018-08,37
2018-09,25
2018-10,31
2018-11,40
2018-12,55
2019-01,35
2019-02,36
2019-03,41
2019-04,36
2019-05,35
2019-06,41
2019-07,48
2019-08,58
2019-09,45
2019-10,49
2019-11,70
2019-12,100
2020-01,62
2020-02,67
2020-03,59
2020-04,43
2020-05,53
2020-06,57
2020-07,62
2020-08,57
2020-09,51
2020-10,48
2020-11,60
2020-12,68
2021-01,51
2021-02,58
2021-03,57
2021-04,55
2021-05,50
2021-06,48
2021-07,69
2021-08,78
2021-09,54
2021-10,50
2021-11,72
2021-12,82
2022-01,56
2022-02,57
2022-03,52
2022-04,50
2022-05,44
2022-06,39
2022-07,49
2022-08,54
2022-09,42
2022-10,37
2022-11,45
2022-12,55
2023-01,40
2023-02,39
2023-03,42
2023-04,35
2023-05,31
2023-06,29
2023-07,32
2023-08,37
2023-09,29
2023-10,28
2023-11,36
2023-12,39
2024-01,28
2024-02,27
2024-03,26
2024-04,24
2024-05,25
2024-06,22
2024-07,24
2024-08,27
2024-09,21
