Category: All categories

Month,Air Jordan 1: (United States)
2004-01,1
2004-02,2
2004-03,2
2004-04,1
2004-05,2
2004-06,0
2004-07,2
2004-08,2
2004-09,2
2004-10,2
2004-11,2
2004-12,2
2005-01,2
2005-02,2
2005-03,2
2005-04,2
2005-05,2
2005-06,2
2005-07,1
2005-08,2
2005-09,1
2005-10,1
2005-11,1
2005-12,1
2006-01,2
2006-02,2
2006-03,2
2006-04,2
2006-05,2
2006-06,2
2006-07,2
2006-08,2
2006-09,2
2006-10,2
2006-11,1
2006-12,2
2007-01,2
2007-02,2
2007-03,2
2007-04,4
2007-05,4
2007-06,3
2007-07,3
2007-08,3
2007-09,2
2007-10,3
2007-11,3
2007-12,4
2008-01,4
2008-02,4
2008-03,5
2008-04,5
2008-05,5
2008-06,4
2008-07,4
2008-08,4
2008-09,4
2008-10,4
2008-11,7
2008-12,5
2009-01,4
2009-02,4
2009-03,4
2009-04,5
2009-05,4
2009-06,4
2009-07,4
2009-08,4
2009-09,3
2009-10,3
2009-11,4
2009-12,5
2010-01,4
2010-02,4
2010-03,4
2010-04,4
2010-05,3
2010-06,3
2010-07,3
2010-08,4
2010-09,3
2010-10,3
2010-11,3
2010-12,4
2011-01,4
2011-02,5
2011-03,5
2011-04,4
2011-05,4
2011-06,5
2011-07,5
2011-08,6
2011-09,4
2011-10,4
2011-11,5
2011-12,7
2012-01,6
2012-02,8
2012-03,6
2012-04,5
2012-05,6
2012-06,6
2012-07,7
2012-08,6
2012-09,4
2012-10,5
2012-11,5
2012-12,9
2013-01,10
2013-02,12
2013-03,8
2013-04,8
2013-05,9
2013-06,7
2013-07,9
2013-08,9
2013-09,7
2013-10,7
2013-11,8
2013-12,13
2014-01,9
2014-02,10
2014-03,11
2014-04,10
2014-05,9
2014-06,10
2014-07,9
2014-08,9
2014-09,8
2014-10,8
2014-11,9
2014-12,14
2015-01,10
2015-02,10
2015-03,10
2015-04,10
2015-05,12
2015-06,11
2015-07,10
2015-08,10
2015-09,9
2015-10,10
2015-11,9
2015-12,11
2016-01,11
2016-02,12
2016-03,11
2016-04,10
2016-05,10
2016-06,9
2016-07,12
2016-08,13
2016-09,16
2016-10,12
2016-11,17
2016-12,21
2017-01,16
2017-02,21
2017-03,18
2017-04,19
2017-05,16
2017-06,14
2017-07,13
2017-08,19
2017-09,16
2017-10,17
2017-11,21
2017-12,23
2018-01,20
2018-02,26
2018-03,22
2018-04,22
2018-05,21
2018-06,17
2018-07,17
2018-08,19
2018-09,18
2018-10,16
2018-11,24
2018-12,33
2019-01,24
2019-02,30
2019-03,28
2019-04,25
2019-05,29
2019-06,23
2019-07,28
2019-08,36
2019-09,27
2019-10,29
2019-11,39
2019-12,48
2020-01,40
2020-02,52
2020-03,48
2020-04,49
2020-05,71
2020-06,66
2020-07,82
2020-08,70
2020-09,62
2020-10,60
2020-11,73
2020-12,81
2021-01,60
2021-02,60
2021-03,68
2021-04,64
2021-05,56
2021-06,50
2021-07,65
2021-08,84
2021-09,61
2021-10,60
2021-11,87
2021-12,100
2022-01,68
2022-02,69
2022-03,64
2022-04,64
2022-05,54
2022-06,51
2022-07,69
2022-08,69
2022-09,54
2022-10,52
2022-11,75
2022-12,85
2023-01,58
2023-02,58
2023-03,50
2023-04,54
2023-05,51
2023-06,44
2023-07,49
2023-08,51
2023-09,37
2023-10,41
2023-11,50
2023-12,51
2024-01,32
2024-02,33
2024-03,30
2024-04,29
2024-05,26
2024-06,23
2024-07,24
2024-08,29
2024-09,22
