Category: All categories

Month,Brooks Ghost: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,4
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,2
2008-08,2
2008-09,0
2008-10,1
2008-11,0
2008-12,1
2009-01,1
2009-02,1
2009-03,1
2009-04,1
2009-05,1
2009-06,1
2009-07,2
2009-08,2
2009-09,2
2009-10,3
2009-11,3
2009-12,2
2010-01,2
2010-02,2
2010-03,2
2010-04,2
2010-05,3
2010-06,3
2010-07,4
2010-08,5
2010-09,5
2010-10,4
2010-11,3
2010-12,3
2011-01,4
2011-02,4
2011-03,5
2011-04,5
2011-05,5
2011-06,6
2011-07,7
2011-08,8
2011-09,8
2011-10,6
2011-11,6
2011-12,6
2012-01,6
2012-02,7
2012-03,7
2012-04,7
2012-05,9
2012-06,8
2012-07,10
2012-08,12
2012-09,11
2012-10,10
2012-11,8
2012-12,7
2013-01,10
2013-02,9
2013-03,10
2013-04,10
2013-05,11
2013-06,12
2013-07,12
2013-08,16
2013-09,13
2013-10,13
2013-11,12
2013-12,11
2014-01,12
2014-02,11
2014-03,12
2014-04,12
2014-05,14
2014-06,16
2014-07,16
2014-08,17
2014-09,19
2014-10,13
2014-11,17
2014-12,13
2015-01,14
2015-02,12
2015-03,14
2015-04,16
2015-05,16
2015-06,15
2015-07,18
2015-08,19
2015-09,17
2015-10,15
2015-11,14
2015-12,14
2016-01,15
2016-02,16
2016-03,17
2016-04,16
2016-05,16
2016-06,19
2016-07,21
2016-08,19
2016-09,17
2016-10,16
2016-11,16
2016-12,15
2017-01,16
2017-02,18
2017-03,17
2017-04,19
2017-05,19
2017-06,22
2017-07,27
2017-08,27
2017-09,24
2017-10,22
2017-11,24
2017-12,22
2018-01,23
2018-02,25
2018-03,28
2018-04,28
2018-05,28
2018-06,32
2018-07,33
2018-08,39
2018-09,31
2018-10,29
2018-11,32
2018-12,30
2019-01,34
2019-02,30
2019-03,33
2019-04,32
2019-05,30
2019-06,37
2019-07,40
2019-08,40
2019-09,38
2019-10,39
2019-11,34
2019-12,37
2020-01,33
2020-02,36
2020-03,32
2020-04,45
2020-05,52
2020-06,43
2020-07,42
2020-08,44
2020-09,38
2020-10,37
2020-11,41
2020-12,40
2021-01,42
2021-02,34
2021-03,45
2021-04,41
2021-05,40
2021-06,38
2021-07,43
2021-08,39
2021-09,37
2021-10,37
2021-11,44
2021-12,43
2022-01,41
2022-02,43
2022-03,56
2022-04,47
2022-05,42
2022-06,42
2022-07,45
2022-08,47
2022-09,40
2022-10,43
2022-11,46
2022-12,42
2023-01,42
2023-02,44
2023-03,45
2023-04,46
2023-05,45
2023-06,47
2023-07,49
2023-08,45
2023-09,47
2023-10,51
2023-11,68
2023-12,58
2024-01,54
2024-02,61
2024-03,77
2024-04,75
2024-05,84
2024-06,75
2024-07,81
2024-08,77
2024-09,66
2024-10,59
2024-11,75
2024-12,100
