Category: All categories

Month,Chuck Taylor: (United States)
2004-01,27
2004-02,28
2004-03,24
2004-04,27
2004-05,23
2004-06,27
2004-07,35
2004-08,47
2004-09,38
2004-10,30
2004-11,35
2004-12,41
2005-01,35
2005-02,35
2005-03,33
2005-04,35
2005-05,34
2005-06,30
2005-07,32
2005-08,34
2005-09,27
2005-10,26
2005-11,28
2005-12,34
2006-01,29
2006-02,26
2006-03,31
2006-04,31
2006-05,25
2006-06,32
2006-07,32
2006-08,30
2006-09,29
2006-10,28
2006-11,29
2006-12,37
2007-01,24
2007-02,22
2007-03,27
2007-04,26
2007-05,24
2007-06,25
2007-07,28
2007-08,30
2007-09,29
2007-10,25
2007-11,29
2007-12,37
2008-01,28
2008-02,31
2008-03,29
2008-04,27
2008-05,30
2008-06,27
2008-07,27
2008-08,37
2008-09,30
2008-10,30
2008-11,33
2008-12,45
2009-01,30
2009-02,32
2009-03,32
2009-04,32
2009-05,28
2009-06,27
2009-07,28
2009-08,33
2009-09,29
2009-10,27
2009-11,29
2009-12,34
2010-01,26
2010-02,23
2010-03,28
2010-04,26
2010-05,28
2010-06,23
2010-07,25
2010-08,28
2010-09,25
2010-10,26
2010-11,26
2010-12,32
2011-01,28
2011-02,34
2011-03,41
2011-04,41
2011-05,37
2011-06,37
2011-07,42
2011-08,45
2011-09,39
2011-10,31
2011-11,36
2011-12,45
2012-01,35
2012-02,42
2012-03,40
2012-04,45
2012-05,53
2012-06,38
2012-07,39
2012-08,44
2012-09,38
2012-10,33
2012-11,39
2012-12,41
2013-01,33
2013-02,35
2013-03,34
2013-04,36
2013-05,35
2013-06,35
2013-07,35
2013-08,41
2013-09,35
2013-10,29
2013-11,32
2013-12,42
2014-01,32
2014-02,32
2014-03,35
2014-04,38
2014-05,36
2014-06,34
2014-07,37
2014-08,37
2014-09,29
2014-10,33
2014-11,32
2014-12,40
2015-01,32
2015-02,30
2015-03,35
2015-04,39
2015-05,36
2015-06,33
2015-07,100
2015-08,87
2015-09,47
2015-10,40
2015-11,42
2015-12,51
2016-01,33
2016-02,39
2016-03,48
2016-04,45
2016-05,43
2016-06,38
2016-07,41
2016-08,43
2016-09,39
2016-10,40
2016-11,53
2016-12,57
2017-01,31
2017-02,39
2017-03,46
2017-04,48
2017-05,41
2017-06,37
2017-07,40
2017-08,46
2017-09,39
2017-10,37
2017-11,45
2017-12,51
2018-01,30
2018-02,35
2018-03,39
2018-04,38
2018-05,38
2018-06,31
2018-07,33
2018-08,39
2018-09,31
2018-10,36
2018-11,42
2018-12,44
2019-01,27
2019-02,35
2019-03,34
2019-04,34
2019-05,32
2019-06,30
2019-07,31
2019-08,34
2019-09,28
2019-10,28
2019-11,34
2019-12,46
2020-01,26
2020-02,30
2020-03,25
2020-04,26
2020-05,32
2020-06,31
2020-07,31
2020-08,31
2020-09,42
2020-10,34
2020-11,55
2020-12,57
2021-01,60
2021-02,35
2021-03,47
2021-04,46
2021-05,40
2021-06,33
2021-07,48
2021-08,64
2021-09,43
2021-10,43
2021-11,72
2021-12,84
2022-01,57
2022-02,61
2022-03,60
2022-04,49
2022-05,45
2022-06,43
2022-07,48
2022-08,54
2022-09,40
2022-10,38
2022-11,59
2022-12,67
2023-01,35
2023-02,37
2023-03,36
2023-04,35
2023-05,32
2023-06,30
2023-07,36
2023-08,41
2023-09,30
2023-10,29
2023-11,47
2023-12,47
2024-01,25
2024-02,29
2024-03,28
2024-04,29
2024-05,33
2024-06,27
2024-07,35
2024-08,47
2024-09,31
