Category: All categories

Month,Dr. Martens: (United States)
2004-01,14
2004-02,13
2004-03,10
2004-04,8
2004-05,9
2004-06,8
2004-07,10
2004-08,12
2004-09,11
2004-10,12
2004-11,13
2004-12,14
2005-01,10
2005-02,9
2005-03,9
2005-04,7
2005-05,8
2005-06,7
2005-07,7
2005-08,8
2005-09,8
2005-10,9
2005-11,10
2005-12,11
2006-01,8
2006-02,7
2006-03,7
2006-04,6
2006-05,5
2006-06,5
2006-07,6
2006-08,6
2006-09,7
2006-10,7
2006-11,8
2006-12,9
2007-01,7
2007-02,6
2007-03,6
2007-04,5
2007-05,5
2007-06,5
2007-07,5
2007-08,6
2007-09,6
2007-10,7
2007-11,8
2007-12,9
2008-01,6
2008-02,6
2008-03,5
2008-04,5
2008-05,5
2008-06,4
2008-07,4
2008-08,5
2008-09,5
2008-10,6
2008-11,7
2008-12,9
2009-01,6
2009-02,6
2009-03,5
2009-04,4
2009-05,4
2009-06,4
2009-07,5
2009-08,5
2009-09,6
2009-10,7
2009-11,7
2009-12,9
2010-01,7
2010-02,7
2010-03,6
2010-04,6
2010-05,5
2010-06,5
2010-07,5
2010-08,6
2010-09,7
2010-10,7
2010-11,9
2010-12,9
2011-01,9
2011-02,8
2011-03,7
2011-04,6
2011-05,6
2011-06,6
2011-07,6
2011-08,8
2011-09,9
2011-10,10
2011-11,12
2011-12,15
2012-01,10
2012-02,9
2012-03,8
2012-04,8
2012-05,7
2012-06,8
2012-07,7
2012-08,10
2012-09,11
2012-10,12
2012-11,18
2012-12,19
2013-01,15
2013-02,14
2013-03,12
2013-04,9
2013-05,8
2013-06,8
2013-07,10
2013-08,13
2013-09,15
2013-10,16
2013-11,21
2013-12,25
2014-01,16
2014-02,16
2014-03,13
2014-04,9
2014-05,9
2014-06,7
2014-07,9
2014-08,12
2014-09,13
2014-10,14
2014-11,19
2014-12,20
2015-01,13
2015-02,12
2015-03,11
2015-04,8
2015-05,7
2015-06,7
2015-07,7
2015-08,9
2015-09,11
2015-10,13
2015-11,15
2015-12,16
2016-01,12
2016-02,10
2016-03,8
2016-04,6
2016-05,6
2016-06,6
2016-07,7
2016-08,8
2016-09,9
2016-10,12
2016-11,31
2016-12,36
2017-01,26
2017-02,22
2017-03,20
2017-04,19
2017-05,15
2017-06,14
2017-07,16
2017-08,21
2017-09,24
2017-10,28
2017-11,33
2017-12,38
2018-01,29
2018-02,26
2018-03,27
2018-04,23
2018-05,20
2018-06,22
2018-07,26
2018-08,28
2018-09,33
2018-10,44
2018-11,65
2018-12,67
2019-01,49
2019-02,45
2019-03,40
2019-04,33
2019-05,30
2019-06,30
2019-07,33
2019-08,40
2019-09,47
2019-10,63
2019-11,89
2019-12,100
2020-01,60
2020-02,48
2020-03,34
2020-04,24
2020-05,25
2020-06,25
2020-07,29
2020-08,36
2020-09,49
2020-10,63
2020-11,78
2020-12,82
2021-01,59
2021-02,41
2021-03,30
2021-04,23
2021-05,22
2021-06,20
2021-07,20
2021-08,14
2021-09,15
2021-10,32
2021-11,47
2021-12,36
2022-01,28
2022-02,22
2022-03,14
2022-04,13
2022-05,5
2022-06,4
2022-07,5
2022-08,14
2022-09,16
2022-10,27
2022-11,32
2022-12,33
2023-01,24
2023-02,21
2023-03,5
2023-04,5
2023-05,8
2023-06,5
2023-07,8
2023-08,4
2023-09,9
2023-10,13
2023-11,12
2023-12,26
2024-01,22
2024-02,18
2024-03,18
2024-04,17
2024-05,14
2024-06,12
2024-07,16
2024-08,19
2024-09,22
2024-10,23
2024-11,22
