Category: All categories

Month,Golden Goose Superstar: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,12
2015-03,0
2015-04,8
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,10
2016-01,8
2016-02,9
2016-03,13
2016-04,13
2016-05,17
2016-06,14
2016-07,13
2016-08,50
2016-09,32
2016-10,18
2016-11,13
2016-12,12
2017-01,43
2017-02,17
2017-03,17
2017-04,27
2017-05,18
2017-06,14
2017-07,17
2017-08,18
2017-09,19
2017-10,18
2017-11,20
2017-12,26
2018-01,23
2018-02,26
2018-03,24
2018-04,29
2018-05,34
2018-06,31
2018-07,29
2018-08,36
2018-09,52
2018-10,37
2018-11,51
2018-12,65
2019-01,46
2019-02,44
2019-03,49
2019-04,60
2019-05,60
2019-06,54
2019-07,47
2019-08,50
2019-09,65
2019-10,64
2019-11,84
2019-12,100
2020-01,78
2020-02,76
2020-03,60
2020-04,53
2020-05,49
2020-06,43
2020-07,50
2020-08,57
2020-09,61
2020-10,58
2020-11,62
2020-12,82
2021-01,66
2021-02,65
2021-03,52
2021-04,57
2021-05,58
2021-06,47
2021-07,56
2021-08,62
2021-09,69
2021-10,69
2021-11,79
2021-12,98
2022-01,90
2022-02,69
2022-03,69
2022-04,73
2022-05,59
2022-06,55
2022-07,53
2022-08,62
2022-09,65
2022-10,65
2022-11,67
2022-12,81
2023-01,59
2023-02,55
2023-03,49
2023-04,46
2023-05,45
2023-06,43
2023-07,36
2023-08,48
2023-09,50
2023-10,46
2023-11,53
2023-12,51
2024-01,47
2024-02,43
2024-03,47
2024-04,45
2024-05,49
2024-06,39
2024-07,38
2024-08,38
2024-09,51
