Category: All categories

Month,Nike Pegasus: (United States)
2004-01,0
2004-02,9
2004-03,8
2004-04,11
2004-05,6
2004-06,10
2004-07,8
2004-08,9
2004-09,10
2004-10,8
2004-11,10
2004-12,5
2005-01,6
2005-02,6
2005-03,10
2005-04,6
2005-05,9
2005-06,11
2005-07,9
2005-08,11
2005-09,9
2005-10,10
2005-11,6
2005-12,7
2006-01,9
2006-02,6
2006-03,7
2006-04,6
2006-05,7
2006-06,8
2006-07,11
2006-08,9
2006-09,5
2006-10,7
2006-11,10
2006-12,10
2007-01,9
2007-02,8
2007-03,6
2007-04,7
2007-05,8
2007-06,8
2007-07,10
2007-08,10
2007-09,9
2007-10,8
2007-11,8
2007-12,10
2008-01,8
2008-02,9
2008-03,9
2008-04,9
2008-05,9
2008-06,11
2008-07,13
2008-08,13
2008-09,11
2008-10,10
2008-11,11
2008-12,13
2009-01,13
2009-02,12
2009-03,13
2009-04,13
2009-05,13
2009-06,12
2009-07,13
2009-08,16
2009-09,13
2009-10,11
2009-11,12
2009-12,13
2010-01,13
2010-02,12
2010-03,14
2010-04,13
2010-05,12
2010-06,11
2010-07,11
2010-08,13
2010-09,11
2010-10,9
2010-11,11
2010-12,10
2011-01,11
2011-02,12
2011-03,14
2011-04,14
2011-05,14
2011-06,15
2011-07,17
2011-08,18
2011-09,16
2011-10,13
2011-11,14
2011-12,15
2012-01,16
2012-02,17
2012-03,21
2012-04,20
2012-05,18
2012-06,19
2012-07,18
2012-08,23
2012-09,22
2012-10,15
2012-11,16
2012-12,16
2013-01,15
2013-02,15
2013-03,19
2013-04,18
2013-05,17
2013-06,21
2013-07,32
2013-08,33
2013-09,32
2013-10,25
2013-11,21
2013-12,25
2014-01,23
2014-02,23
2014-03,25
2014-04,26
2014-05,25
2014-06,31
2014-07,34
2014-08,36
2014-09,28
2014-10,26
2014-11,26
2014-12,31
2015-01,27
2015-02,26
2015-03,32
2015-04,30
2015-05,34
2015-06,32
2015-07,37
2015-08,38
2015-09,31
2015-10,31
2015-11,30
2015-12,37
2016-01,37
2016-02,39
2016-03,41
2016-04,37
2016-05,39
2016-06,43
2016-07,46
2016-08,60
2016-09,39
2016-10,39
2016-11,42
2016-12,41
2017-01,37
2017-02,40
2017-03,38
2017-04,40
2017-05,41
2017-06,40
2017-07,43
2017-08,50
2017-09,40
2017-10,32
2017-11,45
2017-12,38
2018-01,36
2018-02,44
2018-03,42
2018-04,44
2018-05,50
2018-06,45
2018-07,55
2018-08,62
2018-09,44
2018-10,39
2018-11,51
2018-12,52
2019-01,47
2019-02,48
2019-03,53
2019-04,49
2019-05,50
2019-06,57
2019-07,59
2019-08,73
2019-09,52
2019-10,47
2019-11,52
2019-12,60
2020-01,51
2020-02,51
2020-03,44
2020-04,65
2020-05,84
2020-06,68
2020-07,60
2020-08,72
2020-09,50
2020-10,57
2020-11,51
2020-12,54
2021-01,49
2021-02,47
2021-03,47
2021-04,51
2021-05,53
2021-06,45
2021-07,46
2021-08,52
2021-09,55
2021-10,41
2021-11,50
2021-12,48
2022-01,51
2022-02,50
2022-03,59
2022-04,63
2022-05,56
2022-06,52
2022-07,61
2022-08,71
2022-09,65
2022-10,57
2022-11,59
2022-12,58
2023-01,57
2023-02,62
2023-03,68
2023-04,67
2023-05,71
2023-06,68
2023-07,67
2023-08,78
2023-09,71
2023-10,54
2023-11,68
2023-12,62
2024-01,54
2024-02,60
2024-03,66
2024-04,76
2024-05,81
2024-06,84
2024-07,80
2024-08,89
2024-09,80
2024-10,55
2024-11,71
2024-12,100
