Category: All categories

Month,Stan Smith: (United States)
2004-01,9
2004-02,7
2004-03,9
2004-04,16
2004-05,9
2004-06,8
2004-07,10
2004-08,9
2004-09,9
2004-10,8
2004-11,7
2004-12,6
2005-01,8
2005-02,8
2005-03,10
2005-04,7
2005-05,11
2005-06,11
2005-07,13
2005-08,11
2005-09,11
2005-10,8
2005-11,9
2005-12,9
2006-01,9
2006-02,10
2006-03,9
2006-04,10
2006-05,13
2006-06,12
2006-07,13
2006-08,14
2006-09,13
2006-10,10
2006-11,10
2006-12,8
2007-01,10
2007-02,9
2007-03,8
2007-04,11
2007-05,10
2007-06,11
2007-07,10
2007-08,11
2007-09,11
2007-10,9
2007-11,10
2007-12,9
2008-01,10
2008-02,9
2008-03,11
2008-04,10
2008-05,10
2008-06,10
2008-07,12
2008-08,11
2008-09,9
2008-10,7
2008-11,8
2008-12,8
2009-01,7
2009-02,9
2009-03,8
2009-04,9
2009-05,10
2009-06,11
2009-07,9
2009-08,10
2009-09,10
2009-10,7
2009-11,7
2009-12,7
2010-01,7
2010-02,7
2010-03,8
2010-04,9
2010-05,9
2010-06,9
2010-07,7
2010-08,7
2010-09,8
2010-10,7
2010-11,7
2010-12,7
2011-01,8
2011-02,8
2011-03,9
2011-04,9
2011-05,10
2011-06,10
2011-07,10
2011-08,9
2011-09,8
2011-10,8
2011-11,7
2011-12,9
2012-01,8
2012-02,8
2012-03,9
2012-04,9
2012-05,9
2012-06,9
2012-07,10
2012-08,9
2012-09,9
2012-10,8
2012-11,8
2012-12,8
2013-01,9
2013-02,9
2013-03,9
2013-04,9
2013-05,12
2013-06,10
2013-07,9
2013-08,11
2013-09,9
2013-10,9
2013-11,8
2013-12,9
2014-01,20
2014-02,17
2014-03,18
2014-04,25
2014-05,21
2014-06,24
2014-07,24
2014-08,22
2014-09,24
2014-10,25
2014-11,22
2014-12,27
2015-01,29
2015-02,33
2015-03,37
2015-04,46
2015-05,48
2015-06,52
2015-07,54
2015-08,59
2015-09,56
2015-10,53
2015-11,54
2015-12,78
2016-01,70
2016-02,82
2016-03,99
2016-04,100
2016-05,98
2016-06,87
2016-07,86
2016-08,85
2016-09,69
2016-10,68
2016-11,68
2016-12,82
2017-01,55
2017-02,63
2017-03,92
2017-04,86
2017-05,81
2017-06,78
2017-07,84
2017-08,93
2017-09,70
2017-10,55
2017-11,65
2017-12,64
2018-01,43
2018-02,47
2018-03,53
2018-04,52
2018-05,51
2018-06,50
2018-07,55
2018-08,63
2018-09,45
2018-10,35
2018-11,51
2018-12,42
2019-01,32
2019-02,34
2019-03,40
2019-04,40
2019-05,38
2019-06,45
2019-07,48
2019-08,49
2019-09,40
2019-10,35
2019-11,35
2019-12,42
2020-01,35
2020-02,39
2020-03,33
2020-04,31
2020-05,33
2020-06,34
2020-07,39
2020-08,35
2020-09,31
2020-10,30
2020-11,34
2020-12,39
2021-01,29
2021-02,28
2021-03,31
2021-04,53
2021-05,44
2021-06,38
2021-07,37
2021-08,38
2021-09,39
2021-10,31
2021-11,38
2021-12,37
2022-01,30
2022-02,33
2022-03,36
2022-04,32
2022-05,37
2022-06,35
2022-07,37
2022-08,35
2022-09,37
2022-10,31
2022-11,33
2022-12,35
2023-01,32
2023-02,33
2023-03,30
2023-04,33
2023-05,40
2023-06,37
2023-07,38
2023-08,39
2023-09,35
2023-10,29
2023-11,31
2023-12,31
2024-01,26
2024-02,26
2024-03,34
2024-04,30
2024-05,34
2024-06,32
2024-07,33
2024-08,28
2024-09,31
