Category: All categories

Month,UGGs: (United States)
2004-01,10
2004-02,5
2004-03,2
2004-04,2
2004-05,2
2004-06,2
2004-07,3
2004-08,5
2004-09,5
2004-10,8
2004-11,12
2004-12,15
2005-01,7
2005-02,4
2005-03,2
2005-04,1
2005-05,1
2005-06,1
2005-07,2
2005-08,2
2005-09,3
2005-10,6
2005-11,11
2005-12,21
2006-01,7
2006-02,4
2006-03,2
2006-04,1
2006-05,1
2006-06,1
2006-07,2
2006-08,3
2006-09,4
2006-10,11
2006-11,18
2006-12,31
2007-01,12
2007-02,10
2007-03,4
2007-04,2
2007-05,1
2007-06,1
2007-07,2
2007-08,4
2007-09,6
2007-10,12
2007-11,31
2007-12,51
2008-01,19
2008-02,11
2008-03,5
2008-04,2
2008-05,2
2008-06,2
2008-07,3
2008-08,5
2008-09,9
2008-10,20
2008-11,38
2008-12,51
2009-01,21
2009-02,10
2009-03,5
2009-04,3
2009-05,2
2009-06,2
2009-07,3
2009-08,5
2009-09,8
2009-10,21
2009-11,29
2009-12,40
2010-01,21
2010-02,14
2010-03,5
2010-04,2
2010-05,2
2010-06,2
2010-07,3
2010-08,6
2010-09,10
2010-10,20
2010-11,38
2010-12,57
2011-01,28
2011-02,14
2011-03,7
2011-04,4
2011-05,2
2011-06,2
2011-07,4
2011-08,7
2011-09,15
2011-10,25
2011-11,45
2011-12,51
2012-01,22
2012-02,13
2012-03,7
2012-04,4
2012-05,2
2012-06,3
2012-07,4
2012-08,7
2012-09,13
2012-10,23
2012-11,45
2012-12,45
2013-01,19
2013-02,12
2013-03,7
2013-04,3
2013-05,2
2013-06,2
2013-07,4
2013-08,6
2013-09,12
2013-10,19
2013-11,41
2013-12,49
2014-01,18
2014-02,12
2014-03,6
2014-04,3
2014-05,2
2014-06,2
2014-07,3
2014-08,6
2014-09,10
2014-10,18
2014-11,40
2014-12,45
2015-01,19
2015-02,13
2015-03,6
2015-04,2
2015-05,2
2015-06,2
2015-07,3
2015-08,5
2015-09,9
2015-10,20
2015-11,37
2015-12,39
2016-01,21
2016-02,11
2016-03,4
2016-04,3
2016-05,2
2016-06,2
2016-07,3
2016-08,4
2016-09,10
2016-10,18
2016-11,37
2016-12,45
2017-01,16
2017-02,8
2017-03,4
2017-04,2
2017-05,2
2017-06,1
2017-07,2
2017-08,4
2017-09,8
2017-10,14
2017-11,35
2017-12,44
2018-01,17
2018-02,7
2018-03,4
2018-04,2
2018-05,2
2018-06,1
2018-07,2
2018-08,5
2018-09,9
2018-10,18
2018-11,40
2018-12,37
2019-01,15
2019-02,9
2019-03,5
2019-04,2
2019-05,2
2019-06,2
2019-07,3
2019-08,4
2019-09,8
2019-10,17
2019-11,37
2019-12,38
2020-01,12
2020-02,7
2020-03,4
2020-04,4
2020-05,4
2020-06,4
2020-07,4
2020-08,5
2020-09,13
2020-10,20
2020-11,30
2020-12,37
2021-01,14
2021-02,10
2021-03,5
2021-04,3
2021-05,3
2021-06,2
2021-07,3
2021-08,4
2021-09,9
2021-10,16
2021-11,39
2021-12,40
2022-01,19
2022-02,10
2022-03,5
2022-04,3
2022-05,2
2022-06,2
2022-07,3
2022-08,5
2022-09,11
2022-10,24
2022-11,46
2022-12,55
2023-01,20
2023-02,11
2023-03,6
2023-04,4
2023-05,3
2023-06,3
2023-07,5
2023-08,10
2023-09,20
2023-10,34
2023-11,69
2023-12,71
2024-01,30
2024-02,14
2024-03,7
2024-04,5
2024-05,4
2024-06,3
2024-07,6
2024-08,12
2024-09,21
2024-10,31
2024-11,65
2024-12,100
